"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","% Rostered","+/-","MIN","FG-","3PTM","FT-","PTS","OREB","DREB","AST","ST","BLK","TO","PF","TF","EJ","2DO","3D","+-"
"*05wvx*","D.J. Carton","(N/A)","PG,SG,G,Flx","658","FA","21","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03wlh*","Kyle Casey","(N/A)","PF,F,Flx","659","FA","32","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*01eoi*","Omri Casspi","MEM","SF,PF,F,Flx","660","FA","33","PHI<br/>Mon 8:00PM","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04kjg*","Troy Caupain","(N/A)","SG,G,Flx","661","FA","26","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04kpp*","Tyler Cavanaugh","(N/A)","PF,F,C,Flx","662","FA","27","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*00179*","Tyson Chandler","(N/A)","C,Flx","665","FA","39","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*004zn*","Brian Chase","MIA","PG,SG,G,Flx","667","FA","0","@CLE<br/>Mon 7:00PM","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0051n*","Eric Chenowith","NO","C,Flx","670","FA","0","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03h91*","Will Cherry","GS","PG,G,Flx","671","FA","30","@IND<br/>Mon 7:00PM","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03r7q*","Rakeem Christmas","(N/A)","PF,F,Flx","674","FA","30","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
